source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical
,,,,,,,,,Argas testudo rossi ,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,testudo,rossi,subspecies,,,,,,,,Argas testudo rossi
,,,,,,,,,"Argas theilerae Hoogstraal & Kaiser, 1970",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,theilerae,,species,,"Hoogstraal & Kaiser, 1970",,,,,,Argas theilerae
,,,,,,,,,Argas transgariepinus (White),,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,transgariepinus,,species,,(White),,,,,,Argas transgariepinus
,,,,,,,,,Argas transgariepinus white (White),,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,transgariepinus,white,subspecies,,(White),,,,,,Argas transgariepinus white
,,,,,,,,,Argas transversus Banks,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,transversus,,species,,Banks,,,,,,Argas transversus
,,,,,,,,,Argas tridentatus Filippova,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,tridentatus,,species,,Filippova,,,,,,Argas tridentatus
,,,,,,,,,Argas tyto ,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,tyto,,species,,,,,,,,Argas tyto
,,,,,,,,,Argas vespertilionis (Latreille),,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,vespertilionis,,species,,(Latreille),,,,,,Argas vespertilionis
,,,,,,,,,Argas vulgaris Filippova,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,vulgaris,,species,,Filippova,,,,,,Argas vulgaris
,,,,,,,,,"Argas walkarae Kaiser, Hoogstraal & Kohls, 1969",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,walkarae,,species,,"Kaiser, Hoogstraal & Kohls, 1969",,,,,,Argas walkarae
,,,,,,,,,"Argas zumpti Hoogstraal, Kaiser & Kohls, 1968",,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Argas,,zumpti,,species,,"Hoogstraal, Kaiser & Kohls, 1968",,,,,,Argas zumpti
,,,,,,,,,Carios batuensis ,,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,batuensis,,species,,,,,,,,Carios batuensis
,,,,,,,,,Carios capensis (Neumann),,,,,,,,Animalia,Arthropoda,Arachnida,Acari,Parasitiformes,Ixodida,,,,,Ixodoidea,Argasidae,,,,Carios,,capensis,,species,,(Neumann),,,,,,Carios capensis
