"class","subclass","superorder","order","superfamily","family","subfamily","genus","specificEpithet","infragenericEpithet","infraspecificEpithet","scientificNameAuthorship","canonical"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","mimon","","","KOHLS  CLIFFORD  JONES","Ornithodoros mimon"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","mormoops","","","KOHLS  CLIFFORD  JONES","Ornithodoros mormoops"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","moubata","","","(MURRAY)","Ornithodoros moubata"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","moubata","","porcinus","WALTON","Ornithodoros moubata porcinus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","moubata","","moubata","(MURRAY)","Ornithodoros moubata moubata"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","moubata","","domesticus","(WALTON)","Ornithodoros moubata domesticus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","muesebecki","","","HOOGSTRAAL","Ornithodoros muesebecki"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","nereensis","","","PAVLOVSKY","Ornithodoros nereensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","nicollei","","","MOOSER","Ornithodoros nicollei"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","normandi","","","LARROUSSE","Ornithodoros normandi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Ornithodoros","papuensis","","","MOORHOUSE  HOOGSTRAAL  WOLF  CLIFFO","Ornithodoros papuensis"
