source,kingdom,family,taxonRank,scientificNameAuthorship,vernacularName,canonicalName,acceptedTaxon,parentTaxon
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"Ji, Chen & Wang, 1981",,Amphalius spirataenius badongensis,Amphalius spirataenius badongensis,Amphalius
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"Li, Xie & Yang, 1980",,Amphalius spirataenius diqingensis,Amphalius spirataenius diqingensis,Amphalius
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"Wang, Chen & Zhai, 1983",,Amphalius spirataenius heishuiensis,Amphalius spirataenius heishuiensis,Amphalius
Lewis,Animalia,Ceratophyllidae,Subspecies,"Wu & Wang, 2002",,Amphalius spirataenius mengdaensis,Amphalius spirataenius mengdaensis,Amphalius
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"Li, Xie & Yang, 1980",,Amphalius spirataenius qinghaiensis,Amphalius spirataenius qinghaiensis,Amphalius
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"Liu, Wu & Wu, 1966",,Amphalius spirataenius spirataenius,Amphalius spirataenius spirataenius,Amphalius
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Genus,"Jordan, 1933",,Amphalius,Amphalius,Ceratophyllinae
Lewis,Animalia,Ceratophyllidae,Species,"Ewing, 1927",,Amphipsylla hadweni,Mioctenopsylla arctica,Amphipsylla
"Lewis, CoL, GBIF, NMNH",Animalia,Ceratophyllidae,Species,"(Tipton & Mendez, 1961)",,Baculomeris altmani,Baculomeris altmani,Baculomeris
"Lewis, CoL, GBIF, NMNH",Animalia,Ceratophyllidae,Species,"(Traub, 1950)",,Baculomeris schmidti,Baculomeris schmidti,Baculomeris
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Genus,"Smit, 1983",,Baculomeris,Baculomeris,Ceratophyllinae
"Lewis, GBIF",Animalia,Ceratophyllidae,Genus,"Wagner, 1930",,Bakerella,Orchopeas,Ceratophyllinae
Lewis,Animalia,Ceratophyllidae,Species,"Ewing, 1929",,Boreopsyllus hadweni,Mioctenopsylla arctica,Boreopsyllus
"Lewis, GBIF",Animalia,Ceratophyllidae,Genus,"Ewing, 1929",,Boreopsyllus,Mioctenopsylla,Ceratophyllinae
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"(Shvarts, 1960)",,Brevictenidia mikulini,Brevictenidia mikulini,Brevictenidia
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Genus,"Liu & Li, 1965",,Brevictenidia,Brevictenidia,Ceratophyllinae
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Ge, Wang & Ma, 1988",,Callopsylla arcuata,Callopsylla arcuata,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Wu Ni & Wu, 1986",,Callopsylla beishanensis,Callopsylla beishanensis,Callopsylla
Lewis,Animalia,Ceratophyllidae,Species,"Wu, Cai & Li, 1994",,Callopsylla bursiforma,Callopsylla bursiforma,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"(Ioff & Argyropulo, 1934)",,Callopsylla caspia caspia,Callopsylla caspia caspia,Callopsylla
"Lewis, CoL, GBIF, NMNH",Animalia,Ceratophyllidae,Subspecies,"(Mikulin, 1953)",,Callopsylla caspia fragilis,Callopsylla caspia fragilis,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"(Vovchinskaya, 1950)",,Callopsylla caspia gaiskii,Callopsylla caspia gaiskii,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Subspecies,"Rosicky, 1959",,Callopsylla caspia rhodopeia,Callopsylla caspia caspia,Callopsylla
"Lewis, CoL, GBIF, NMNH",Animalia,Ceratophyllidae,Subspecies,"Wagner, 1936",,Callopsylla caspia tiflovi,Callopsylla caspia tiflovi,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"(Liu, Wu & Wu, 1966)",,Callopsylla changduensis,Callopsylla changduensis,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Smit & Rosicky, 1973",,Callopsylla danieli,Callopsylla streeti,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Cai, Wu & Liu, 1984",,Callopsylla digitata,Callopsylla digitata,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Smit & Rosicky, 1976",,Callopsylla dolabella,Callopsylla dolabella,Callopsylla
"Lewis, CoL, GBIF, NMNH",Animalia,Ceratophyllidae,Species,"(Jordan & Rothschild, 1911)",,Callopsylla dolabris,Callopsylla dolabris,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Wu, Chen & Liu, 1981",,Callopsylla forfica,Callopsylla forfica,Callopsylla
Lewis,Animalia,Ceratophyllidae,Species,"Lewis, 1971",,Callopsylla fusca,Megabothris rhipisoides,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"(Ioff, 1946)",,Callopsylla gemina,Callopsylla gemina,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Peus, 1978",,Callopsylla gypaetina,Callopsylla gypaetina,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Goncharov, 1980",,Callopsylla kazbegiensis,Callopsylla kazbegiensis,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"(Wagner, 1928)",,Callopsylla kaznakovi,Callopsylla kaznakovi,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"(Wagner, 1928)",,Callopsylla kozlovi,Callopsylla kozlovi,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"(Wagner, 1898)",,Callopsylla lagomys,Callopsylla lagomys,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Li, Wu & Yang, 1989",,Callopsylla liui,Callopsylla liui,Callopsylla
"Lewis, CoL, GBIF",Animalia,Ceratophyllidae,Species,"Zhang & Yu, 1988",,Callopsylla longispina,Callopsylla longispina,Callopsylla
