rankID,sciname,scientificNameAuthorship,parentNameUsage,acceptedNameUsage,taxonRemarks,scientificName
220,roylei,,Alticola,,,Alticola roylei
220,semicanus,,Alticola,,,Alticola semicanus
220,stoliczkanus,,Alticola,,,Alticola stoliczkanus
220,stracheyi,,Alticola,,,Alticola stracheyi
220,strelzowi,,Alticola,,,Alticola strelzowi
220,tuvinicus,,Alticola,,,Alticola tuvinicus
100,Afrosoricida,,Mammalia,,,
140,Chrysochloridae,,Afrosoricida,,,
180,Amblysomus,,Chrysochloridae,,,
220,corriae,,Amblysomus,,,Amblysomus corriae
220,hottentotus,,Amblysomus,,,Amblysomus hottentotus
220,marleyi,,Amblysomus,,,Amblysomus marleyi
220,robustus,,Amblysomus,,,Amblysomus robustus
220,septentrionalis,,Amblysomus,,,Amblysomus septentrionalis
140,Phyllostomidae,,Chiroptera,,,
180,Ametrida,,Phyllostomidae,,,
220,centurio,,Ametrida,,,Ametrida centurio
180,Ammelaphus,,Bovidae,,,
220,imberbis,,Ammelaphus,,,Ammelaphus imberbis
180,Ammodillus,,Muridae,,,
220,imbellis,,Ammodillus,,,Ammodillus imbellis
180,Ammodorcas,,Bovidae,,,
220,clarkei,,Ammodorcas,,,Ammodorcas clarkei
180,Ammospermophilus,,Sciuridae,,,
220,harrisii,,Ammospermophilus,,,Ammospermophilus harrisii
220,interpres,,Ammospermophilus,,,Ammospermophilus interpres
220,leucurus,,Ammospermophilus,,,Ammospermophilus leucurus
220,nelsoni,,Ammospermophilus,,,Ammospermophilus nelsoni
180,Ammotragus,,Bovidae,,,
220,lervia,,Ammotragus,,,Ammotragus lervia
140,Furipterididae,,Chiroptera,,,
180,Amorphochilus,,Furipterididae,,,
220,schnablii,,Amorphochilus,,,Amorphochilus schnablii
180,Amphinectomys,,Cricetidae,,,
220,savamis,,Amphinectomys,,,Amphinectomys savamis
100,Scandentia,,Mammalia,,,
140,Tupaiidae,,Scandentia,,,
180,Anathana,,Tupaiidae,,,
220,ellioti,,Anathana,,,Anathana ellioti
180,Andalgalomys,,Cricetidae,,,
220,olrogi,,Andalgalomys,,,Andalgalomys olrogi
220,pearsoni,,Andalgalomys,,,Andalgalomys pearsoni
220,roigi,,Andalgalomys,,,Andalgalomys roigi
180,Andinomys,,Cricetidae,,,
220,edax,,Andinomys,,,Andinomys edax
180,Anisomys,,Muridae,,,
220,imitator,,Anisomys,,,Anisomys imitator
140,Anomaluridae,,Rodentia,,,
180,Anomalurus,,Anomaluridae,,,
220,beecrofti,,Anomalurus,,,Anomalurus beecrofti
220,derbianus,,Anomalurus,,,Anomalurus derbianus
220,pelii,,Anomalurus,,,Anomalurus pelii
220,pusillus,,Anomalurus,,,Anomalurus pusillus
180,Anonymomys,,Muridae,,,
220,mindorensis,,Anonymomys,,,Anonymomys mindorensis
180,Anotomys,,Cricetidae,,,
220,leander,,Anotomys,,,Anotomys leander
180,Anoura,,Phyllostomidae,,,
220,aequatoris,,Anoura,,,Anoura aequatoris
220,cadenai,,Anoura,,,Anoura cadenai
220,carishina,,Anoura,,,Anoura carishina
220,caudifer,,Anoura,,,Anoura caudifer
220,cultrata,,Anoura,,,Anoura cultrata
220,fistulata,,Anoura,,,Anoura fistulata
220,geoffroyi,,Anoura,,,Anoura geoffroyi
220,latidens,,Anoura,,,Anoura latidens
220,luismanueli,,Anoura,,,Anoura luismanueli
220,peruana,,Anoura,,,Anoura peruana
100,Eulipotyphla,,Mammalia,,,
140,Soricidae,,Eulipotyphla,,,
180,Anourosorex,,Soricidae,,,
220,assamensis,,Anourosorex,,,Anourosorex assamensis
220,schmidi,,Anourosorex,,,Anourosorex schmidi
220,squamipes,,Anourosorex,,,Anourosorex squamipes
220,yamashinai,,Anourosorex,,,Anourosorex yamashinai
100,Dasyuromorpha,,Mammalia,,,
140,Dasyuridae,,Dasyuromorpha,,,
180,Antechinomys,,Dasyuridae,,,
220,laniger,,Antechinomys,,,Antechinomys laniger
180,Antechinus,,Dasyuridae,,,
220,adustus,,Antechinus,,,Antechinus adustus
220,agilis,,Antechinus,,,Antechinus agilis
220,argentus,,Antechinus,,,Antechinus argentus
220,arktos,,Antechinus,,,Antechinus arktos
220,bellus,,Antechinus,,,Antechinus bellus
220,flavipes,,Antechinus,,,Antechinus flavipes
220,godmani,,Antechinus,,,Antechinus godmani
220,leo,,Antechinus,,,Antechinus leo
220,mimetes,,Antechinus,,,Antechinus mimetes
220,minimus,,Antechinus,,,Antechinus minimus
220,mysticus,,Antechinus,,,Antechinus mysticus
220,stuartii,,Antechinus,,,Antechinus stuartii
220,subtropicus,,Antechinus,,,Antechinus subtropicus
220,swainsonii,,Antechinus,,,Antechinus swainsonii
220,vandycki,,Antechinus,,,Antechinus vandycki
140,Hipposideridae,,Chiroptera,,,
180,Anthops,,Hipposideridae,,,
220,ornatus,,Anthops,,,Anthops ornatus
180,Antidorcas,,Bovidae,,,
220,marsupialis,,Antidorcas,,,Antidorcas marsupialis
140,Antilocapridae,,Artiodactyla,,,
180,Antilocapra,,Antilocapridae,,,
220,americana,,Antilocapra,,,Antilocapra americana
180,Antilope,,Bovidae,,,
220,cervicapra,,Antilope,,,Antilope cervicapra
180,Antrozous,,Vespertilionidae,,,
220,pallidus,,Antrozous,,,Antrozous pallidus
140,Mustelidae,,Carnivora,,,
180,Aonyx,,Mustelidae,,,
