source,taxonID,scientificNameID,acceptedNameUsageID,parentNameUsageID,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonical
TPT_v1,44,,,,,,,,"Linognathus euchore Waterston, 1914",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,euchore,,species,,"Waterston, 1914",,,,,,Linognathus euchore
TPT_v1,45,,,,,,,,"Linognathus fahrenholzi Paine, 1914",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,fahrenholzi,,species,,"Paine, 1914",,,,,,Linognathus fahrenholzi
TPT_v1,46,,,,,,,,"Linognathus fenneci Fiedler & Stampa, 1958",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,fenneci,,species,,"Fiedler & Stampa, 1958",,,,,,Linognathus fenneci
TPT_v1,47,,,,,,,,"Linognathus fractus Ferris, 1932",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,fractus,,species,,"Ferris, 1932",,,,,,Linognathus fractus
TPT_v1,48,,,,,,,,"Linognathus geigyi Buttiker, 1949",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,geigyi,,species,,"Buttiker, 1949",,,,,,Linognathus geigyi
TPT_v1,49,,,,,,,,"Linognathus gnu Bedford, 1927",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,gnu,,species,,"Bedford, 1927",,,,,,Linognathus gnu
TPT_v1,50,,,,,,,,"Linognathus gonolobatus Weisser & Ledger, 1977",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,gonolobatus,,species,,"Weisser & Ledger, 1977",,,,,,Linognathus gonolobatus
TPT_v1,51,,,,,,,,"Linognathus gorgonus Bedford, 1929",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,gorgonus,,species,,"Bedford, 1929",,,,,,Linognathus gorgonus
TPT_v1,52,,,,,,,,"Linognathus hippotragi Ferris, 1932",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,hippotragi,,species,,"Ferris, 1932",,,,,,Linognathus hippotragi
TPT_v1,53,,,,,,,,"Linognathus kimi van der Merwe, 1968",,,,,,,,Animalia,Arthropoda,Insecta,,,Psocodea,Troctomorpha,Nanopsocetae,Phthiraptera,Anoplura,,Linognathidae,,,,Linognathus,,kimi,,species,,"van der Merwe, 1968",,,,,,Linognathus kimi
