source,rankID,scientificNameID,acceptedNameUsageID,parentNameUsage,originalNameUsageID,nameAccordingToID,namePublishedInID,taxonConceptID,scientificName,acceptedNameUsage,parentNameUsage,originalNameUsage,nameAccordingTo,namePublishedIn,namePublishedInYear,higherClassification,kingdom,phylum,class,subclass,superorder,order,suborder,infraorder,parvorder,nanorder,superfamily,family,subfamily,tribe,subtribe,genus,infragenericEpithet,specificEpithet,infraspecificEpithet,taxonRank,verbatimTaxonRank,scientificNameAuthorship,vernacularName,nomenclaturalCode,taxonomicStatus,nomenclaturalStatus,taxonRemarks,canonicalName
,220,,,Accipiter,,,,,Accipiter fasciatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,fasciatus,,,,,Accipiter fasciatus didimus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,fasciatus,,,,,Accipiter fasciatus dogwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,fasciatus,,,,,Accipiter fasciatus fasciatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,fasciatus,,,,,Accipiter fasciatus hellmayri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,fasciatus,,,,,Accipiter fasciatus natalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,fasciatus,,,,,Accipiter fasciatus polycryptus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,fasciatus,,,,,Accipiter fasciatus savu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,fasciatus,,,,,Accipiter fasciatus stresemanni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,fasciatus,,,,,Accipiter fasciatus tjendanae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,fasciatus,,,,,Accipiter fasciatus vigilax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,fasciatus,,,,,Accipiter fasciatus wallacii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter francesiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,francesiae,,,,,Accipiter francesiae brutus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,francesiae,,,,,Accipiter francesiae francesiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,francesiae,,,,,Accipiter francesiae griveaudi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,francesiae,,,,,Accipiter francesiae pusillus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter gentilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,gentilis,,,,,Accipiter gentilis albidus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,gentilis,,,,,Accipiter gentilis arrigonii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,gentilis,,,,,Accipiter gentilis atricapillus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,gentilis,,,,,Accipiter gentilis buteoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,gentilis,,,,,Accipiter gentilis fujiyamae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,gentilis,,,,,Accipiter gentilis gentilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,gentilis,,,,,Accipiter gentilis laingi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,gentilis,,,,,Accipiter gentilis schvedowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter griseiceps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter gularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,gularis,,,,,Accipiter gularis gularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,gularis,,,,,Accipiter gularis iwasakii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,gularis,,,,,Accipiter gularis sibiricus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter gundlachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,gundlachi,,,,,Accipiter gundlachi gundlachi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,gundlachi,,,,,Accipiter gundlachi wileyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter haplochrous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter henicogrammus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter henstii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,220,,,Accipiter,,,,,Accipiter hiogaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster albiventris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster bougainvillei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster dampieri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster griseogularis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster hiogaster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster lavongai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster leucosomus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster lihirensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster malaitae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster manusi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster matthiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster misoriensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster misulae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster mortyi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster obiensis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster pallidiceps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster pallidimas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster polionotus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster pulchellus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster rubianae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster rufoschistaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,230,,,hiogaster,,,,,Accipiter hiogaster sylvestris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
