"class","subclass","superorder","order","superfamily","family","subfamily","genus","specificEpithet","infragenericEpithet","infraspecificEpithet","scientificNameAuthorship","canonical"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Carios","KELLEYI","","","COOLEY AND KOHLS","Carios kelleyi"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Carios","rioplatensis","","","","Carios rioplatensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Carios","rondoniensis","","","Labruna, 2007","Carios rondoniensis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","Carios","vespertilionis","","","","Carios vespertilionis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","ACINUS","","","WHITTICK","Ornithodoros acinus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","AFRIMEROPSIS","","","HOOGSTRAAL  KEIRANS  CLIFFORD  VAN","Ornithodoros afrimeropsis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","ALACTAGALIS","","","ISSAAKJAN","Ornithodoros alactagalis"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","AMBLUM","","","CHAMBERLIN","Ornithodoros amblum"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","AMBLUS","","","CHAMBERLAIN","Ornithodoros amblus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","ANDUZEI","","","MATHESON, 1941","Ornithodoros anduzei"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","APERTUS","","","WALTON","Ornithodoros apertus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","AQUILAE","","","COOLEY 1944","Ornithodoros aquilae"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","ARENICOLOUS","","","HOOGSTRAAL 1953","Ornithodoros arenicolous"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","ASPERUS","","","WARBURTON","Ornithodoros asperus"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","AZTECI","","","MATHESON 1935","Ornithodoros azteci"
"Arachnida","Acari","Parasitiformes","Ixodida","Ixodoidea","Argasidae","","ORNITHODOROS","BATUENSIS","","","HIRST","Ornithodoros batuensis"
