source,kingdom,family,taxonRank,scientificNameAuthorship,vernacularName,canonical,acceptedTaxon,parentTaxon
,Animalia,Ixodidae,Species,"Durden, Keirans & Smith, 2002",,Amblyomma geochelone,Amblyomma geochelone,Nuttalliella
,Animalia,Ixodidae,Species,"(Cantor, 1847)",,Amblyomma geoemydae,Amblyomma geoemydae,Nuttalliella
,Animalia,Ixodidae,Species,,,Amblyomma gertschi,Amblyomma gertschi,Nuttalliella
,Animalia,Ixodidae,Species,,,Amblyomma gervaisi,Amblyomma gervaisi,Nuttalliella
,Animalia,Ixodidae,Species,"Keirans, King & Sharrad, 1994",,Amblyomma glauerti,Amblyomma glauerti,Nuttalliella
,Animalia,Ixodidae,Species,"Neumann, 1899",,Amblyomma goeldii,Amblyomma goeldii,Nuttalliella
,Animalia,Ixodidae,Species,,,Amblyomma hadanii,Amblyomma hadanii,Nuttalliella
,Animalia,Ixodidae,Species,"Koch, 1844",,Amblyomma hebraeum,Amblyomma hebraeum,Nuttalliella
,Animalia,Ixodidae,Species,"Koch, 1844",,Amblyomma helvolum,Amblyomma helvolum,Nuttalliella
,Animalia,Ixodidae,Species,"Koch, 1844",,Amblyomma humerale,Amblyomma humerale,Nuttalliella
,Animalia,Ixodidae,Species,"Kohls, 1958",,Amblyomma imitator,Amblyomma imitator,Nuttalliella
,Animalia,Ixodidae,Species,"Neumann, 1906",,Amblyomma incisum,Amblyomma incisum,Nuttalliella
