source,kingdom,family,taxonRank,scientificNameAuthorship,vernacularName,canonical,acceptedTaxon,parentTaxon
TPT_v1,Animalia,Trichodectidae,Species," Piaget, 1880",,Bovicola truncatus,Bovicola truncatus,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Rudow, 1866",,Bovicola mambricus,Bovicola mambricus,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Taschenberg, 1882",,Bovicola peregrinus,Bovicola peregrinus,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Rudow, 1866",,Bovicola solidus,Bovicola solidus,Bovicola
TPT_v1,Animalia,Trichodectidae,Species,,,Bovicola caprae,Bovicola caprae,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Werneck, 1944",,Bovicola rupicaprae,Bovicola rupicaprae,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Jellison, 1935",,Bovicola americanus,Bovicola americanus,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Denny, 1842",,Bovicola similis,Bovicola similis,Bovicola
TPT_v1,Animalia,Trichodectidae,Species,,,Bovicola longicornis,Bovicola longicornis,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Nitzsch, 1818",,Bovicola scalaris,Bovicola scalaris,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Linnaeus, 1761",,Bovicola tauri,Bovicola tauri,Bovicola
TPT_v1,Animalia,Trichodectidae,Species,,,Bovicola bovis,Bovicola bovis,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Piaget, 1885",,Bovicola major,Bovicola major,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Mjoberg, 1910",,Bovicola madagascariensis,Bovicola madagascariensis,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Kellogg & Nakayama, 1914",,Bovicola painei,Bovicola painei,Bovicola
TPT_v1,Animalia,Trichodectidae,Species, Keler 1937,,Bovicola sachtlebeni,Bovicola sachtlebeni,Bovicola
TPT_v1,Animalia,Trichodectidae,Species, Keler 1937,,Bovicola wernecki,Bovicola wernecki,Bovicola
TPT_v1,Animalia,Trichodectidae,Species,,,Bovicola limbatus,Bovicola limbatus,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Schrank, 1803",,Bovicola ovisarietis,Bovicola ovisarietis,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Nitzsch, 1818",,Bovicola sphaerocephalus,Bovicola sphaerocephalus,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Olfers, 1816",,Bovicola sphaerocephalus,Bovicola sphaerocephalus,Bovicola
TPT_v1,Animalia,Trichodectidae,Species,,,Bovicola ovis,Bovicola ovis,Bovicola
TPT_v1,Animalia,Trichodectidae,Species," Piaget, 1885",,Bovicola punctus,Bovicola punctus,Bovicola
TPT_v1,Animalia,Menoponidae,Species," Giebel, 1874",,Cuculiphilus breviceps,Cuculiphilus breviceps,Cuculiphilus
TPT_v1,Animalia,Menoponidae,Species," Harrison, 1916",,Cuculiphilus fasciaferus,Cuculiphilus fasciaferus,Cuculiphilus
TPT_v1,Animalia,Menoponidae,Species," Rudow, 1869",,Cuculiphilus fasciatus,Cuculiphilus fasciatus,Cuculiphilus
TPT_v1,Animalia,Trichodectidae,Species,,,Damalinia punctum,Damalinia punctum,Damalinia
TPT_v1,Animalia,Trichodectidae,Species,,,Damalinia tibialis,Damalinia tibialis,Damalinia
TPT_v1,Animalia,Philopteridae,Species,,,Naubates clypeatus,Naubates clypeatus,Naubates
TPT_v1,Animalia,Philopteridae,Species,,,Naubates damma,Naubates damma,Naubates
TPT_v1,Animalia,Philopteridae,Species,,,Naubates prioni,Naubates prioni,Naubates
TPT_v1,Animalia,Philopteridae,Species,,,Naubates pterodromi,Naubates pterodromi,Naubates
